"periode_data","tanggal","wilayah","pm10","so2","co","o3","no2","max","critical","kategori"
"2017","2017-02-26","DKI1","44","8","25","60","4","60","O3","Sedang"
"2017","2017-02-27","DKI1","30","6","23","44","4","44","O3","Baik"
"2017","2017-02-28","DKI1","58","6","26","54","4","58","PM10","Sedang"
"2017","2017-03-01","DKI1","51","8","26","46","5","51","PM10","Sedang"
"2017","2017-03-02","DKI1","56","8","28","56","4","56","PM10","Sedang"
"2017","2017-03-03","DKI1","49","5","33","53","4","53","O3","Sedang"
"2017","2017-03-04","DKI1","37","9","25","75","5","75","O3","Sedang"
"2017","2017-03-05","DKI1","51","7","24","53","4","53","O3","Sedang"
"2017","2017-03-06","DKI1","42","8","19","44","3","44","O3","Baik"
"2017","2017-03-07","DKI1","41","10","22","42","4","42","O3","Baik"
"2017","2017-03-08","DKI1","25","7","22","84","4","84","O3","Sedang"
"2017","2017-03-09","DKI1","53","12","22","101","6","101","O3","TidakSehat"
"2017","2017-03-10","DKI1","62","8","28","43","5","62","PM10","Sedang"
"2017","2017-03-11","DKI1","56","9","27","63","4","63","O3","Sedang"
"2017","2017-03-12","DKI1","57","6","29","53","4","57","PM10","Sedang"
"2017","2017-03-13","DKI1","53","9","24","60","5","60","O3","Sedang"
"2017","2017-03-14","DKI1","62","14","24","48","4","62","PM10","Sedang"
"2017","2017-03-15","DKI1","36","8","20","31","3","36","PM10","Baik"
"2017","2017-03-16","DKI1","35","9","20","125","5","125","O3","TidakSehat"
"2017","2017-03-17","DKI1","63","10","25","80","5","80","O3","Sedang"
"2017","2017-03-18","DKI1","55","7","33","52","6","55","PM10","Sedang"
"2017","2017-03-19","DKI1","51","13","27","50","2","51","PM10","Sedang"
"2017","2017-03-20","DKI1","35","7","17","26","2","35","PM10","Baik"
"2017","2017-03-21","DKI1","51","13","23","32","3","51","PM10","Sedang"
"2017","2017-03-22","DKI1","34","8","24","47","6","47","O3","Baik"
"2017","2017-03-23","DKI1","46","6","33","34","7","46","PM10","Baik"
"2017","2017-03-24","DKI1","77","11","50","97","7","97","O3","Sedang"
"2017","2017-03-25","DKI1","52","10","20","41","4","52","PM10","Sedang"
"2017","2017-03-26","DKI1","57","9","30","54","3","57","PM10","Sedang"
"2017","2017-03-27","DKI1","42","8","23","80","5","80","O3","Sedang"
"2017","2017-03-28","DKI1","64","12","35","71","3","71","O3","Sedang"
"2017","2017-03-29","DKI1","51","8","27","62","4","62","O3","Sedang"
"2017","2017-03-30","DKI1","32","9","20","26","3","32","PM10","Baik"
"2017","2017-03-31","DKI1","0","0","0","0","0","0","0","TidakAdaData"
"2017","2017-04-01","DKI1","41","6","19","-","3","41","PM10","BAIK"
"2017","2017-04-02","DKI1","47","-","23","-","4","47","PM10","BAIK"
"2017","2017-04-03","DKI1","30","13","24","-","3","30","PM10","BAIK"
"2017","2017-04-04","DKI1","37","12","24","8","3","37","PM10","BAIK"
"2017","2017-04-05","DKI1","31","12","24","6","4","31","PM10","BAIK"
"2017","2017-04-06","DKI1","33","10","16","6","2","33","PM10","BAIK"
"2017","2017-04-07","DKI1","40","12","17","57","3","57","O3","SEDANG"
"2017","2017-04-08","DKI1","17","8","16","38","1","38","O3","BAIK"
"2017","2017-04-09","DKI1","23","7","14","31","1","31","O3","BAIK"
"2017","2017-04-10","DKI1","46","8","20","55","6","55","O3","SEDANG"
"2017","2017-04-11","DKI1","43","7","23","73","4","73","O3","SEDANG"
"2017","2017-04-12","DKI1","39","9","26","47","5","47","O3","BAIK"
"2017","2017-04-13","DKI1","56","8","26","34","5","56","PM10","SEDANG"
"2017","2017-04-14","DKI1","55","8","24","45","5","55","PM10","SEDANG"
"2017","2017-04-15","DKI1","61","9","20","45","3","61","PM10","SEDANG"
"2017","2017-04-16","DKI1","73","9","26","69","5","73","PM10","SEDANG"
"2017","2017-04-17","DKI1","65","10","24","76","6","76","O3","SEDANG"
"2017","2017-04-18","DKI1","79","7","26","86","7","86","O3","SEDANG"
"2017","2017-04-19","DKI1","-","-","-","-","-","0","0","TIDAKADADATA"
"2017","2017-04-20","DKI1","-","-","-","-","-","0","0","TIDAKADADATA"
"2017","2017-04-21","DKI1","57","10","24","65","7","65","O3","SEDANG"
"2017","2017-04-22","DKI1","71","8","31","56","6","71","PM10","SEDANG"
"2017","2017-04-23","DKI1","53","11","22","67","5","67","O3","SEDANG"
"2017","2017-04-24","DKI1","50","12","17","43","5","50","PM10","BAIK"
"2017","2017-04-25","DKI1","68","10","30","35","4","68","PM10","SEDANG"
"2017","2017-04-26","DKI1","47","10","18","44","6","47","PM10","BAIK"
"2017","2017-04-27","DKI1","61","11","33","82","6","82","O3","SEDANG"
"2017","2017-04-28","DKI1","53","10","28","51","5","53","PM10","SEDANG"
"2017","2017-04-29","DKI1","39","10","17","32","2","39","PM10","BAIK"
"2017","2017-04-30","DKI1","43","11","18","89","3","89","O3","SEDANG"
"2017","2017-05-01","DKI1","57","12","20","88","4","88","O3","SEDANG"
"2017","2017-05-02","DKI1","50","8","27","67","4","67","O3","SEDANG"
"2017","2017-05-03","DKI1","62","10","34","86","4","86","O3","SEDANG"
"2017","2017-05-04","DKI1","49","9","22","68","4","68","O3","SEDANG"
"2017","2017-05-05","DKI1","51","11","23","53","4","53","O3","SEDANG"
"2017","2017-05-06","DKI1","49","10","22","31","5","49","PM10","BAIK"
"2017","2017-05-07","DKI1","53","8","26","48","6","53","PM10","SEDANG"
"2017","2017-05-08","DKI1","55","10","27","52","3","55","PM10","SEDANG"
"2017","2017-05-09","DKI1","54","11","30","42","5","54","PM10","SEDANG"
"2017","2017-05-10","DKI1","64","11","28","35","4","64","PM10","SEDANG"
"2017","2017-05-11","DKI1","76","14","28","87","5","87","O3","SEDANG"
"2017","2017-05-12","DKI1","71","15","25","78","5","78","O3","SEDANG"
"2017","2017-05-13","DKI1","59","12","20","80","5","80","O3","SEDANG"
"2017","2017-05-14","DKI1","50","12","20","76","3","76","O3","SEDANG"
"2017","2017-05-15","DKI1","20","15","19","91","5","91","O3","SEDANG"
"2017","2017-05-16","DKI1","53","11","21","78","6","78","O3","SEDANG"
"2017","2017-05-17","DKI1","60","11","24","56","7","60","PM10","SEDANG"
"2017","2017-05-18","DKI1","56","11","20","81","9","81","O3","SEDANG"
"2017","2017-05-19","DKI1","46","11","23","85","7","85","O3","SEDANG"
"2017","2017-05-20","DKI1","59","15","18","64","6","64","O3","SEDANG"
"2017","2017-05-21","DKI1","51","14","19","53","3","53","O3","SEDANG"
"2017","2017-05-22","DKI1","35","14","19","53","5","53","O3","SEDANG"
"2017","2017-05-23","DKI1","44","13","21","85","11","85","O3","SEDANG"
"2017","2017-05-24","DKI1","61","17","20","82","8","82","O3","SEDANG"
"2017","2017-05-25","DKI1","69","14","19","87","4","87","O3","SEDANG"
"2017","2017-05-26","DKI1","54","13","20","134","9","134","O3","TIDAKSEHAT"
"2017","2017-05-27","DKI1","69","14","24","79","8","79","O3","SEDANG"
"2017","2017-05-28","DKI1","58","15","16","65","4","65","O3","SEDANG"
"2017","2017-05-29","DKI1","36","12","20","31","3","36","PM10","BAIK"
"2017","2017-05-30","DKI1","61","18","23","29","3","61","PM10","SEDANG"
"2017","2017-05-31","DKI1","56","15","17","26","3","56","PM10","SEDANG"
"2017","2017-06-01","DKI1","41","11","20","23","3","41","PM10","BAIK"
"2017","2017-06-02","DKI1","53","14","25","75","4","75","O3","SEDANG"
"2017","2017-06-03","DKI1","71","15","21","75","4","75","O3","SEDANG"
"2017","2017-06-04","DKI1","42","13","23","72","5","72","O3","SEDANG"
"2017","2017-06-05","DKI1","36","12","28","55","5","55","O3","SEDANG"
"2017","2017-06-06","DKI1","31","12","19","63","6","63","O3","SEDANG"
"2017","2017-06-07","DKI1","41","16","18","32","4","41","PM10","BAIK"
"2017","2017-06-08","DKI1","38","21","18","31","3","38","PM10","BAIK"
"2017","2017-06-09","DKI1","51","20","17","47","3","51","PM10","SEDANG"
"2017","2017-06-10","DKI1","50","13","20","77","4","77","O3","SEDANG"
"2017","2017-06-11","DKI1","57","13","19","56","5","57","PM10","SEDANG"
"2017","2017-06-12","DKI1","52","13","17","48","4","52","PM10","SEDANG"
"2017","2017-06-13","DKI1","54","14","23","70","6","70","O3","SEDANG"
"2017","2017-06-14","DKI1","54","12","20","49","7","54","PM10","SEDANG"
"2017","2017-06-15","DKI1","51","13","20","44","5","51","PM10","SEDANG"
"2017","2017-06-16","DKI1","50","16","18","32","2","50","PM10","BAIK"
"2017","2017-06-17","DKI1","42","15","18","55","3","55","O3","SEDANG"
"2017","2017-06-18","DKI1","51","12","24","67","3","67","O3","SEDANG"
"2017","2017-06-19","DKI1","34","14","21","84","4","84","O3","SEDANG"
"2017","2017-06-20","DKI1","52","17","18","63","7","63","O3","SEDANG"
"2017","2017-06-21","DKI1","63","19","21","65","4","65","O3","SEDANG"
"2017","2017-06-22","DKI1","58","17","29","36","4","58","PM10","SEDANG"
"2017","2017-06-23","DKI1","60","18","27","40","4","60","PM10","SEDANG"
"2017","2017-06-24","DKI1","40","14","19","30","2","40","PM10","BAIK"
"2017","2017-06-25","DKI1","55","15","27","31","2","55","PM10","SEDANG"
"2017","2017-06-26","DKI1","12","12","14","29","1","29","O3","BAIK"
"2017","2017-06-27","DKI1","20","11","15","33","2","33","O3","BAIK"
"2017","2017-06-28","DKI1","28","13","25","33","3","33","O3","BAIK"
"2017","2017-06-29","DKI1","33","12","19","46","3","46","O3","BAIK"
"2017","2017-06-30","DKI1","29","11","16","57","3","57","O3","SEDANG"
"2017","2017-07-01","DKI1","27","13","22","42","3","42","O3","BAIK"
"2017","2017-07-02","DKI1","49","14","18","39","3","49","PM10","BAIK"
"2017","2017-07-03","DKI1","45","13","14","48","2","48","O3","BAIK"
"2017","2017-07-04","DKI1","35","14","16","53","2","53","O3","SEDANG"
"2017","2017-07-05","DKI1","60","13","18","80","6","80","O3","SEDANG"
"2017","2017-07-06","DKI1","49","14","19","90","7","90","O3","SEDANG"
"2017","2017-07-07","DKI1","66","16","21","141","7","141","O3","TIDAKSEHAT"
"2017","2017-07-08","DKI1","79","17","28","94","6","94","O3","SEDANG"
"2017","2017-07-09","DKI1","38","15","16","58","3","58","O3","SEDANG"
"2017","2017-07-10","DKI1","24","13","19","54","5","54","O3","SEDANG"
"2017","2017-07-11","DKI1","30","15","19","73","5","73","O3","SEDANG"
"2017","2017-07-12","DKI1","27","14","19","74","5","74","O3","SEDANG"
"2017","2017-07-13","DKI1","37","16","23","103","5","103","O3","TIDAKSEHAT"
"2017","2017-07-14","DKI1","45","18","22","71","5","71","O3","SEDANG"
"2017","2017-07-15","DKI1","40","17","22","45","5","45","O3","BAIK"
"2017","2017-07-16","DKI1","51","16","21","69","4","69","O3","SEDANG"
"2017","2017-07-17","DKI1","38","16","19","96","6","96","O3","SEDANG"
"2017","2017-07-18","DKI1","59","18","26","97","7","97","O3","SEDANG"
"2017","2017-07-19","DKI1","86","20","22","122","9","122","O3","TIDAKSEHAT"
"2017","2017-07-20","DKI1","53","15","24","50","7","53","PM10","SEDANG"
"2017","2017-07-21","DKI1","43","13","23","95","5","95","O3","SEDANG"
"2017","2017-07-22","DKI1","49","17","23","77","9","77","O3","SEDANG"
"2017","2017-07-23","DKI1","45","14","20","64","4","64","O3","SEDANG"
"2017","2017-07-24","DKI1","46","13","25","82","5","82","O3","SEDANG"
"2017","2017-07-25","DKI1","48","16","20","56","6","56","O3","SEDANG"
"2017","2017-07-26","DKI1","50","19","19","76","5","76","O3","SEDANG"
"2017","2017-07-27","DKI1","50","17","20","85","10","85","O3","SEDANG"
"2017","2017-07-28","DKI1","57","16","20","70","9","70","O3","SEDANG"
"2017","2017-07-29","DKI1","38","16","18","55","5","55","O3","SEDANG"
"2017","2017-07-30","DKI1","55","15","24","87","5","87","O3","SEDANG"
"2017","2017-07-31","DKI1","48","14","19","74","4","74","O3","SEDANG"
"2017","2017-08-01","DKI1","53","17","18","74","6","74","O3","SEDANG"
"2017","2017-08-02","DKI1","46","18","19","60","5","60","O3","SEDANG"
"2017","2017-08-03","DKI1","42","17","18","80","7","80","O3","SEDANG"
"2017","2017-08-04","DKI1","52","18","18","97","7","97","O3","SEDANG"
"2017","2017-08-05","DKI1","62","18","19","90","7","90","O3","SEDANG"
"2017","2017-08-06","DKI1","61","18","19","90","5","90","O3","SEDANG"
"2017","2017-08-07","DKI1","68","19","18","59","6","68","PM10","SEDANG"
"2017","2017-08-08","DKI1","60","21","19","85","6","85","O3","SEDANG"
"2017","2017-08-09","DKI1","56","16","23","141","6","141","O3","TIDAKSEHAT"
"2017","2017-08-10","DKI1","34","15","21","72","6","72","O3","SEDANG"
"2017","2017-08-11","DKI1","44","15","21","92","5","92","O3","SEDANG"
"2017","2017-08-12","DKI1","56","19","18","65","8","65","O3","SEDANG"
"2017","2017-08-13","DKI1","56","16","18","56","3","56","PM10","SEDANG"
"2017","2017-08-14","DKI1","58","15","25","118","5","118","O3","TIDAKSEHAT"
"2017","2017-08-15","DKI1","70","16","23","102","6","102","O3","TIDAKSEHAT"
"2017","2017-08-16","DKI1","55","18","19","92","5","92","O3","SEDANG"
"2017","2017-08-17","DKI1","39","18","18","105","5","105","O3","TIDAKSEHAT"
"2017","2017-08-18","DKI1","5","21","17","63","4","63","O3","SEDANG"
"2017","2017-08-19","DKI1","18","17","16","49","3","49","O3","BAIK"
"2017","2017-08-20","DKI1","51","16","15","83","4","83","O3","SEDANG"
"2017","2017-08-21","DKI1","52","19","18","77","5","77","O3","SEDANG"
"2017","2017-08-22","DKI1","57","19","19","112","6","112","O3","TIDAKSEHAT"
"2017","2017-08-23","DKI1","71","19","21","59","5","71","PM10","SEDANG"
"2017","2017-08-24","DKI1","52","19","18","63","4","63","O3","SEDANG"
"2017","2017-08-25","DKI1","53","19","16","66","4","66","O3","SEDANG"
"2017","2017-08-26","DKI1","53","25","19","58","4","58","O3","SEDANG"
"2017","2017-08-27","DKI1","62","20","18","51","6","62","PM10","SEDANG"
"2017","2017-08-28","DKI1","56","18","16","49","5","56","PM10","SEDANG"
"2017","2017-08-29","DKI1","61","24","21","138","6","138","O3","TIDAKSEHAT"
"2017","2017-08-30","DKI1","56","18","20","48","5","56","PM10","SEDANG"
"2017","2017-08-31","DKI1","51","18","16","64","5","64","O3","SEDANG"
"2017","2017-09-01","DKI1","54","17","16","75","6","75","O3","SEDANG"
"2017","2017-09-02","DKI1","56","18","15","77","3","77","O3","SEDANG"
"2017","2017-09-03","DKI1","64","18","19","70","5","70","O3","SEDANG"
"2017","2017-09-04","DKI1","63","19","20","110","9","110","O3","TIDAKSEHAT"
"2017","2017-09-05","DKI1","52","17","19","79","6","79","O3","SEDANG"
