"periode_data","tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"202005","2020-05-01","55","26","21","83","10","83","O3","SEDANG","DKI5"
"202005","2020-05-02","36","22","12","80","9","80","O3","SEDANG","DKI5"
"202005","2020-05-03","65","34","35","49","11","65","PM10","SEDANG","DKI5"
"202005","2020-05-04","53","21","14","75","8","75","O3","SEDANG","DKI5"
"202005","2020-05-05","53","22","18","73","9","73","O3","SEDANG","DKI5"
"202005","2020-05-06","52","22","14","63","7","63","O3","SEDANG","DKI5"
"202005","2020-05-07","67","24","18","69","9","69","O3","SEDANG","DKI5"
"202005","2020-05-08","91","22","18","120","10","120","O3","TIDAK SEHAT","DKI5"
"202005","2020-05-09","77","22","22","75","12","77","PM10","SEDANG","DKI4"
"202005","2020-05-10","72","23","27","81","15","81","O3","SEDANG","DKI5"
"202005","2020-05-11","54","24","18","83","8","83","O3","SEDANG","DKI5"
"202005","2020-05-12","57","23","20","81","10","81","O3","SEDANG","DKI5"
"202005","2020-05-13","55","22","17","79","8","79","O3","SEDANG","DKI5"
"202005","2020-05-14","61","23","17","64","12","64","O3","SEDANG","DKI3"
"202005","2020-05-15","66","23","18","62","9","66","PM10","SEDANG","DKI2"
"202005","2020-05-16","65","23","17","77","8","77","O3","SEDANG","DKI5"
"202005","2020-05-17","74","23","18","122","9","122","O3","TIDAK SEHAT","DKI5"
"202005","2020-05-18","62","21","15","79","10","79","O3","SEDANG","DKI5"
"202005","2020-05-19","42","23","15","119","13","119","O3","TIDAK SEHAT","DKI5"
"202005","2020-05-20","61","23","14","73","9","73","O3","SEDANG","DKI4"
"202005","2020-05-21","33","23","14","79","12","79","O3","SEDANG","DKI2"
"202005","2020-05-22","70","22","16","88","17","88","O3","SEDANG","DKI5"
"202005","2020-05-23","42","22","15","87","8","87","O3","SEDANG","DKI5"
"202005","2020-05-24","62","21","26","65","11","65","O3","SEDANG","DKI2"
"202005","2020-05-25","50","25","15","44","9","50","PM10","BAIK","DKI4"
"202005","2020-05-26","52","42","18","45","8","52","PM10","SEDANG","DKI4"
"202005","2020-05-27","37","22","12","76","10","76","O3","SEDANG","DKI2"
"202005","2020-05-28","64","35","16","136","16","136","O3","TIDAK SEHAT","DKI5"
"202005","2020-05-29","62","27","16","134","12","134","O3","TIDAK SEHAT","DKI5"
"202005","2020-05-30","63","38","36","73","11","73","O3","SEDANG","DKI5"
"202005","2020-05-31","54","32","28","66","9","66","O3","SEDANG","DKI5"
"202008","2020-08-18","75","25","19","99","14","99","O3","SEDANG","DKI5"
"202008","2020-08-19","80","33","29","82","18","82","O3","SEDANG","DKI3"
"202008","2020-08-20","62","30","18","64","13","64","O3","SEDANG","DKI3"
"202008","2020-08-21","71","32","10","58","10","71","PM10","SEDANG","DKI4"
"202008","2020-08-22","84","31","20","63","16","84","PM10","SEDANG","DKI4"
"202008","2020-08-23","72","33","27","88","14","88","O3","SEDANG","DKI5"
"202008","2020-08-24","79","31","17","68","14","79","PM10","SEDANG","DKI4"
"202008","2020-08-25","74","33","13","75","17","75","O3","SEDANG","DKI5"
"202008","2020-08-26","63","31","9","100","11","100","O3","SEDANG","DKI5"
"202008","2020-08-27","57","31","10","80","11","80","O3","SEDANG","DKI5"
"202008","2020-08-28","84","33","15","67","16","84","PM10","SEDANG","DKI4"
"202008","2020-08-29","70","33","12","71","12","71","O3","SEDANG","DKI5"
"202008","2020-08-30","74","33","15","79","10","79","O3","SEDANG","DKI5"
"202008","2020-08-31","69","33","13","134","14","134","O3","TIDAK SEHAT","DKI5"
"202009","2020-09-17","65","52","11","45","23","83","PM25","SEDANG","DKI4"
"202009","2020-09-18","70","51","15","40","19","106","PM25","TIDAK SEHAT","DKI4"
"202009","2020-09-19","88","56","14","40","20","119","PM25","TIDAK SEHAT","DKI4"
"202009","2020-09-20","73","52","15","31","13","86","PM25","SEDANG","DKI3"
"202009","2020-09-21","65","50","19","28","18","85","PM25","SEDANG","DKI4"
"202009","2020-09-22","62","50","15","39","19","67","PM25","SEDANG","DKI4"
"202009","2020-09-23","73","51","17","32","30","102","PM25","TIDAK SEHAT","DKI2"
"202009","2020-09-24","57","44","16","39","29","93","PM25","SEDANG","DKI3"
"202001","2020-01-01","38","36","25","46","9","46","O3","BAIK","DKI5"
"202001","2020-01-02","45","36","39","102","8","102","O3","TIDAK SEHAT","DKI5"
"202001","2020-01-03","51","37","27","63","10","63","O3","SEDANG","DKI5"
"202001","2020-01-04","51","38","19","85","10","85","O3","SEDANG","DKI5"
"202001","2020-01-05","52","39","25","62","9","62","O3","SEDANG","DKI5"
"202001","2020-01-06","62","37","39","64","9","64","O3","SEDANG","DKI5"
"202001","2020-01-07","50","38","39","66","11","66","O3","SEDANG","DKI5"
"202001","2020-01-08","52","40","22","70","11","70","O3","SEDANG","DKI5"
"202001","2020-01-09","82","38","58","71","13","82","PM10","SEDANG","DKI4"
"202001","2020-01-10","44","37","27","47","9","47","O3","BAIK","DKI5"
"202001","2020-01-11","44","38","25","80","9","80","O3","SEDANG","DKI5"
"202001","2020-01-12","43","38","17","46","5","46","O3","BAIK","DKI5"
"202001","2020-01-13","42","38","15","51","8","51","O3","SEDANG","DKI4"
"202001","2020-01-14","40","32","17","48","9","48","O3","BAIK","DKI4"
"202001","2020-01-15","44","29","16","63","9","63","O3","SEDANG","DKI3"
"202001","2020-01-16","70","60","41","78","12","78","O3","SEDANG","DKI3"
"202001","2020-01-17","86","34","40","125","20","125","O3","TIDAK SEHAT","DKI4"
"202001","2020-01-18","59","30","25","75","7","75","O3","SEDANG","DKI4"
"202001","2020-01-19","76","34","71","110","15","110","O3","TIDAK SEHAT","DKI3"
"202001","2020-01-20","56","31","20","65","9","65","O3","SEDANG","DKI3"
"202001","2020-01-21","62","36","41","50","15","62","PM10","SEDANG","DKI3"
"202001","2020-01-22","82","36","43","64","15","82","PM10","SEDANG","DKI4"
"202001","2020-01-23","60","32","29","59","18","60","PM10","SEDANG","DKI4"
"202001","2020-01-24","71","30","31","44","13","71","PM10","SEDANG","DKI4"
"202001","2020-01-25","40","29","34","80","12","80","O3","SEDANG","DKI5"
"202001","2020-01-26","63","30","51","89","11","89","O3","SEDANG","DKI5"
"202001","2020-01-27","48","30","29","83","13","83","O3","SEDANG","DKI2"
"202001","2020-01-28","72","31","39","74","17","74","O3","SEDANG","DKI3"
"202001","2020-01-29","70","30","42","92","19","92","O3","SEDANG","DKI4"
"202001","2020-01-30","38","30","21","80","20","80","O3","SEDANG","DKI4"
"202001","2020-01-31","56","30","27","54","16","56","PM10","SEDANG","DKI4"
"202003","2020-03-02","22","---","35","213","11","213","4","O3","SANGAT TIDAK SEHAT"
"202003","2020-03-03","22","---","---","201","15","201","4","O3","SANGAT TIDAK SEHAT"
"202003","2020-03-04","54","---","39","152","13","152","4","O3","TIDAK SEHAT"
"202003","2020-03-05","59","---","32","206","5","206","4","O3","SANGAT TIDAK SEHAT"
"202003","2020-03-06","24","17","52","95","3","95","4","O3","SEDANG"
"202003","2020-03-07","34","27","40","54","7","54","4","O3","SEDANG"
"202003","2020-03-08","30","24","40","58","5","58","4","O3","SEDANG"
"202003","2020-03-09","52","22","38","59","7","59","4","O3","SEDANG"
"202003","2020-03-10","32","21","39","43","4","43","4","O3","BAIK"
"202003","2020-03-11","25","20","36","41","4","41","4","O3","BAIK"
"202003","2020-03-12","34","20","46","63","4","63","4","O3","SEDANG"
"202003","2020-03-13","44","19","58","72","10","72","4","O3","SEDANG"
"202003","2020-03-14","32","19","51","69","6","69","4","O3","SEDANG"
"202003","2020-03-15","66","22","59","179","8","179","4","O3","TIDAK SEHAT"
"202003","2020-03-16","53","18","63","92","8","92","4","O3","SEDANG"
"202003","2020-03-17","48","19","62","70","9","70","4","O3","SEDANG"
"202003","2020-03-18","40","18","38","101","9","101","4","O3","TIDAK SEHAT"
"202003","2020-03-19","45","18","35","90","6","90","4","O3","SEDANG"
"202003","2020-03-20","69","---","33","99","7","99","4","O3","SEDANG"
"202003","2020-03-21","51","---","11","83","8","83","4","O3","SEDANG"
"202003","2020-03-22","42","---","15","84","6","84","4","O3","SEDANG"
"202003","2020-03-23","27","---","5","71","7","71","4","O3","SEDANG"
"202003","2020-03-24","52","---","14","105","7","105","4","O3","TIDAK SEHAT"
"202003","2020-03-25","70","---","25","93","11","93","4","O3","SEDANG"
"202003","2020-03-26","34","---","6","99","5","99","4","O3","SEDANG"
"202003","2020-03-27","44","---","9","67","5","67","4","O3","SEDANG"
"202003","2020-03-28","40","---","6","117","5","117","4","O3","TIDAK SEHAT"
"202003","2020-03-29","58","11","12","124","6","124","4","O3","TIDAK SEHAT"
"202003","2020-03-30","65","14","11","91","7","91","4","O3","SEDANG"
"202003","2020-03-31","53","9","10","76","5","76","4","O3","SEDANG"
"202003","2020-03-31","47","11","14","96","6","96","4","O3","SEDANG"
"202004","2020-04-01","51","25","35","129","10","129","O3","TIDAK SEHAT","DKI5"
"202004","2020-04-02","55","25","22","57","7","57","O3","SEDANG","DKI2"
"202004","2020-04-03","55","27","22","62","6","62","O3","SEDANG","DKI2"
"202004","2020-04-04","66","28","25","83","7","83","O3","SEDANG","DKI2"
"202004","2020-04-05","66","28","19","103","8","103","O3","TIDAK SEHAT","DKI5"
"202004","2020-04-06","56","26","29","73","9","73","O3","SEDANG","DKI5"
"202004","2020-04-07","42","25","23","56","9","56","O3","SEDANG","DKI5"
"202004","2020-04-08","33","26","13","69","7","69","O3","SEDANG","DKI5"
"202004","2020-04-09","59","28","19","73","10","73","O3","SEDANG","DKI5"
"202004","2020-04-10","65","27","26","132","12","132","O3","TIDAK SEHAT","DKI5"
"202004","2020-04-11","109","27","18","135","6","135","O3","TIDAK SEHAT","DKI5"
"202004","2020-04-12","82","27","31","136","13","136","O3","TIDAK SEHAT","DKI5"
"202004","2020-04-13","52","26","17","86","9","86","O3","SEDANG","DKI5"
"202004","2020-04-14","54","28","22","109","10","109","O3","TIDAK SEHAT","DKI5"
"202004","2020-04-15","57","27","19","109","11","109","O3","TIDAK SEHAT","DKI5"
"202004","2020-04-16","60","27","17","87","13","87","O3","SEDANG","DKI5"
